var,rel.inf
small.particle,15.66151395
slippery.surface,14.55760861
object.on.the.floor,10.1635031
adverse.low.temps,8.83900898
hazardous.substance,5.539528798
insect,4.497218935
heat.source,4.278373193
lifting.pulling.manual.handling,2.987178407
steel.steel.sections,2.389512547
exiting.transitioning,2.234377303
guardrail.handrail,2.133329663
piping,1.985323912
sharp.edge,1.844085635
wire,1.706935801
wind,1.594975222
uneven.surface,1.388558378
powered.tool,1.274572367
working.at.height,1.246994559
concrete.liquid,1.141331816
wrench,1.075268919
improper.body.position,1.069347095
welding,0.944586269
improper.security.of.materials,0.934975892
stairs,0.92771722
splinter.sliver,0.81643665
hammer,0.756371274
heavy.material.tool,0.755557198
hand.size.pieces,0.709579466
nail,0.627959944
door,0.622795979
object.at.height,0.56119643
crane,0.472046087
mud,0.40996013
unpowered.tool,0.381384795
chipping,0.348487735
ladder,0.327620626
grinding,0.275703101
machinery,0.248446922
working.below.elev.wksp.mat,0.242451866
spool,0.200042869
rebar,0.179004657
slag,0.167132729
stripping,0.16082874
manlift,0.150819804
stud,0.148739163
lumber,0.136178325
unpowered.transporter,0.095683068
unstable.support.surface,0.091014718
soffit,0.089289339
dunnage,0.07467612
formwork,0.057527009
heavy.vehicle,0.047628793
bolt,0.046877229
improper.security.of.tools,0.045941993
repetitive.motion,0.041043306
drill,0.039993074
cleaning,0.037242246
concrete,0.036387528
forklift,0.034669525
scaffold,0.027036999
light.vehicle,0.023444341
improper.procedure.inattention,0.022879676
grout,0.017951085
cable,0.013701243
confined.workspace,0.01325559
screw,0.010956583
cable.tray,0.010338008
hose,0.0036026
valve,0.003172966
working.overhead,0.001115898
conduit,0
congested.workspace,0
job.trailer,0
pontoon,0
tank,0
spark,0
no.improper.PPE,0
poor.visibility,0
